Mic config:,Room:,Room decode:,Room Config:,Channel:,FB T60:,Mean T60:,FB DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:
arthur-sykes-rymer-auditorium-university-york,s1r2_0_1_1,s1r2_0_1_1,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.03,1.03,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.47,0.47,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.49,0.49,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.4,0.4,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.38,0.38,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.33,0.33,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.18,0.18,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_0_1_2,s1r2_0_1_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.31,0.31,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.43,0.43,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.4,0.4,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.35,0.35,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.39,0.39,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.34,0.34,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.34,0.34,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.32,0.32,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.2,0.2,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_0_1_3,s1r2_0_1_3,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.45,1.45,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,1.64,1.64,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.73,0.73,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.53,0.53,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.41,0.41,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.41,0.41,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.35,0.35,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.3,0.3,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.19,0.19,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_0_1_4,s1r2_0_1_4,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.75,0.75,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.61,0.61,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.51,0.51,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.37,0.37,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.36,0.36,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.34,0.34,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.31,0.31,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.19,0.19,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_1,s1r2_1,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.03,1.03,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.47,0.47,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.49,0.49,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.4,0.4,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.38,0.38,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.33,0.33,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.18,0.18,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_2,s1r2_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.31,0.31,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.43,0.43,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.4,0.4,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.35,0.35,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.39,0.39,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.34,0.34,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.34,0.34,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.32,0.32,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.2,0.2,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_3,s1r2_3,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.45,1.45,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,1.64,1.64,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.73,0.73,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.53,0.53,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.41,0.41,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.41,0.41,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.35,0.35,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.3,0.3,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.19,0.19,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r2_4,s1r2_4,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.75,0.75,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.61,0.61,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.51,0.51,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.37,0.37,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.36,0.36,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.34,0.34,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.31,0.31,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.19,0.19,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r4_1,s1r4_1,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.81,0.81,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.89,0.89,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.51,0.51,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.41,0.41,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.39,0.39,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.31,0.31,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.16,0.16,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r4_2,s1r4_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.7,0.7,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.71,0.71,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.53,0.53,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.33,0.33,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.43,0.43,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.39,0.39,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.35,0.35,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.31,0.31,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.15,0.15,0,0,19952.62,0,0,0,0
