councilchamber_s1_r1_ir_1_96000_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.047,1.044,0.709,0.785,0.99,0.973,0.919,0.801,0.607,0.387
T30 [s],,1.16,1.074,0.823,0.817,0.952,0.951,0.898,0.802,0.625,0.394
T60,,1.1035,1.059,0.766,0.801,0.971,0.962,0.9085,0.8015,0.616,0.3905
STI male,,0.66 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r4_ir_1_96000_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.972,0.702,0.665,0.804,0.952,0.976,0.885,0.803,0.648,0.38
T30 [s],,1.199,0.793,0.781,0.869,0.933,0.963,0.895,0.811,0.662,0.389
T60,,1.0855,0.7475,0.723,0.8365,0.9425,0.9695,0.89,0.807,0.655,0.3845
STI male,,0.66 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r4_ir_1_96000_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.363,0.755,0.668,0.746,0.943,0.979,0.902,0.82,0.621,0.372
T30 [s],,1.368,1.061,0.676,0.849,0.939,0.96,0.902,0.806,0.629,0.394
T60,,1.3655,0.908,0.672,0.7975,0.941,0.9695,0.902,0.813,0.625,0.383
STI male,,0.71 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r4_ir_1_96000_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.952,0.808,0.842,0.835,0.901,0.952,0.916,0.812,0.626,0.39
T30 [s],,1.137,0.802,0.82,0.785,0.911,0.982,0.905,0.825,0.631,0.411
T60,,1.0445,0.805,0.831,0.81,0.906,0.967,0.9105,0.8185,0.6285,0.4005
STI male,,0.62 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r4_ir_1_96000_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.054,0.918,0.842,0.814,0.925,0.925,0.882,0.788,0.61,0.397
T30 [s],,1.191,1.491,0.778,0.833,0.957,0.939,0.888,0.805,0.636,0.414
T60,,1.1225,1.2045,0.81,0.8235,0.941,0.932,0.885,0.7965,0.623,0.4055
STI male,,0.65 (Good),,,,,,,,,
